label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,logical_subgraphs,execution_stage_partition,execution_groups,materialized_boundaries,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,execution_group_cores,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
m3_g2_p5-5-10_e10-10_b1_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m3-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"5+5+10",3,"10+10",2,1,"radix4+radix4+radix4","256+256+256","1+1+1","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","5+5+10","radix4+radix4","resident-fused+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,5,30,0.781088,0.427315,0.427578,0.000262,0,0,0,0,0,7,natural,natural,"",0.739360,2340.192878,513.409440,2453870086.781582,fused,shoup,-1
m2_g2_p10-10_e10-10_b1_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"radix4+radix4","256+256","1+1","0+0","0+0","0+0","0+0","0+0","10+10","radix4+radix4","full-scratch","1",8,per-packet,interleaved-rows,0,0,5,30,0.786240,0.426359,0.426606,0.000247,0,0,0,0,0,7,natural,natural,"",0.732736,2345.438672,514.050161,2459370700.835789,fused,shoup,-1
m8_g2_p2-2-3-3-2-2-3-3_e10-10_b1_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m8-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+2+2+3+3",8,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+3+3+2+2+3+3","radix4+radix4","resident-fused+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused+resident-fused","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,0.781888,0.427452,0.427722,0.000270,0,0,0,0,0,7,natural,natural,"",0.735072,2339.445440,514.294361,2453086341.592844,fused,shoup,-1
m7_g2_p2-2-3-3-3-3-4_e10-10_b1_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+3+3+4",7,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+2+3+3+3+3+4","radix4+radix4","resident-fused+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,0.812448,0.427486,0.427781,0.000295,0,0,0,0,0,7,natural,natural,"",0.772608,2339.258533,496.884067,2452890355.261828,fused,shoup,-1
m5_g2_p3-3-4-5-5_e10-10_b1_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m5-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+4+5+5",5,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","3+3+4+5+5","radix4+radix4","resident-fused+resident-fused+full-scratch+resident-fused","1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,0.790688,0.427861,0.428151,0.000290,0,0,0,0,0,7,natural,natural,"",0.735584,2337.205826,511.735808,2450737936.305449,fused,shoup,-1
m4_g2_p5-5-5-5_e10-10_b1_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"5+5+5+5",4,"10+10",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","5+5+5+5","radix4+radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,5,30,0.790752,0.427145,0.427417,0.000272,0,0,0,0,0,7,natural,natural,"",0.736896,2341.127969,511.563248,2454850601.261237,fused,shoup,-1
m3_g2_p5-5-10_e10-10_b1_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m3-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"5+5+10",3,"10+10",2,1,"radix4+radix4+radix4","256+256+256","1+1+1","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","5+5+10","radix4+radix4","resident-fused+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,5,30,0.793024,0.427861,0.428114,0.000252,0,0,0,0,0,7,natural,natural,"",0.732512,2337.205826,511.928619,2450737936.305449,fused,shoup,-1
m2_g2_p10-10_e10-10_b1_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"radix4+radix4","256+256","1+1","0+0","0+0","0+0","0+0","0+0","10+10","radix4+radix4","full-scratch","1",8,per-packet,interleaved-rows,0,0,5,30,0.796544,0.427213,0.427486,0.000273,0,0,0,0,0,7,natural,natural,"",0.741568,2340.753810,508.821735,2454458267.209576,fused,shoup,-1
m8_g2_p2-2-3-3-2-2-3-3_e10-10_b1_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m8-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+2+2+3+3",8,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+3+3+2+2+3+3","radix4+radix4","resident-fused+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused+resident-fused","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,0.790336,0.427349,0.427594,0.000244,0,0,0,0,0,7,natural,natural,"",0.733600,2340.005851,512.482697,2453673975.202840,fused,shoup,-1
m7_g2_p2-2-3-3-3-3-4_e10-10_b1_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+3+3+4",7,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+2+3+3+3+3+4","radix4+radix4","resident-fused+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,0.787616,0.427247,0.427484,0.000237,0,0,0,0,0,7,natural,natural,"",0.732160,2340.566857,513.604638,2454262232.804791,fused,shoup,-1
m6_g2_p3-3-4-3-3-4_e10-10_b1_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m6-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+4+3+3+4",6,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+4+3+3+4","radix4+radix4","resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,0.794400,0.427315,0.427598,0.000283,0,0,0,0,0,7,natural,natural,"",0.742080,2340.192878,509.218081,2453870086.781582,fused,shoup,-1
m7_g2_p2-2-3-3-3-3-4_e10-10_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"2+2+3+3+3+3+4",7,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+2+3+3+3+3+4","radix4+radix4","resident-fused+resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,2.807936,1.115785,1.116046,0.000261,0,0,0,0,0,7,natural,natural,"",2.617504,3584.921557,611.506314,3759062706.775589,fused,shoup,-1
m6_g2_p3-3-4-3-3-4_e10-10_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m6-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"3+3+4+3+3+4",6,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+4+3+3+4","radix4+radix4","resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,2.809472,1.110494,1.110735,0.000241,0,0,0,0,0,7,natural,natural,"",2.621408,3602.000881,611.492329,3776971675.462976,fused,shoup,-1
m5_g2_p3-3-4-5-5_e10-10_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m5-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"3+3+4+5+5",5,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","3+3+4+5+5","radix4+radix4","resident-fused+resident-fused+full-scratch+resident-fused","1+1+1+1",8,per-packet,interleaved-rows,0,0,5,30,2.811104,1.112849,1.113089,0.000240,0,0,0,0,0,7,natural,natural,"",2.616768,3594.378043,611.553380,3768978550.431729,fused,shoup,-1
m4_g2_p5-5-5-5_e10-10_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"5+5+5+5",4,"10+10",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","5+5+5+5","radix4+radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,5,30,2.813184,1.119573,1.119802,0.000228,0,0,0,0,0,7,natural,natural,"",2.612960,3572.789566,611.086564,3746341391.846512,fused,shoup,-1
m3_g2_p5-5-10_e10-10_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m3-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"5+5+10",3,"10+10",2,1,"radix4+radix4+radix4","256+256+256","1+1+1","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","5+5+10","radix4+radix4","resident-fused+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,5,30,2.816512,1.103804,1.104080,0.000276,0,0,0,0,0,7,natural,natural,"",2.629536,3623.832575,610.700843,3799863866.524929,fused,shoup,-1
m2_g2_p10-10_e10-10_b4_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10",2,"10+10",2,1,"radix4+radix4","256+256","1+1","0+0","0+0","0+0","0+0","0+0","10+10","radix4+radix4","full-scratch","1",8,per-packet,interleaved-rows,0,0,5,30,2.809408,1.116672,1.116913,0.000241,0,0,0,0,0,7,natural,natural,"",2.616480,3582.072319,611.381468,3756075063.575467,fused,shoup,-1
