label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,logical_subgraphs,execution_stage_partition,execution_groups,materialized_boundaries,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,execution_group_cores,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
m7_g5_p2-3-3-3-3-3-3_e2-3-3-3-9_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g5","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+3+3+3+3+3+3",7,"2+3+3+3+9",5,4,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+3+3+3+3+3+3","radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+resident-fused+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.795424,7.362560,7.364138,0.001578,0,0,0,0,0,7,natural,natural,"",0.750208,135.822318,112.256221,142420022.550699,fused,shoup,-1
m7_g6_p2-3-3-3-3-3-3_e2-3-3-3-3-6_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m7-g6","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+3+3+3+3+3+3",7,"2+3+3+3+3+6",6,5,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+3+3+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+resident-fused","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.777856,7.230464,7.231837,0.001373,0,0,0,0,0,7,natural,natural,"",0.744384,138.303711,114.250408,145021951.933414,fused,shoup,-1
m7_g7_p2-3-3-3-3-3-3_e2-3-3-3-3-3-3_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+3+3+3+3+3+3",7,"2+3+3+3+3+3+3",7,6,"radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+3+3+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.798016,7.269785,7.271166,0.001381,0,0,0,0,0,7,natural,natural,"",0.743200,137.555642,113.494477,144237545.085366,fused,shoup,-1
m6_g3_p3-3-3-3-4-4_e3-9-8_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m6-g3","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3+4+4",6,"3+9+8",3,2,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+3+3+4+4","radix4+radix4+radix4","full-scratch+resident-fused+resident-fused+full-scratch+resident-fused","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.807648,2.296832,2.298404,0.001572,0,0,0,0,0,7,natural,natural,"",0.738624,435.382284,260.206329,456531414.292376,fused,shoup,-1
m6_g4_p3-3-3-3-4-4_e3-3-6-8_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m6-g4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3+4+4",6,"3+3+6+8",4,3,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+3+3+4+4","radix4+radix4+radix4+radix4","full-scratch+full-scratch+resident-fused+full-scratch+resident-fused","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.784224,4.086579,4.088098,0.001518,0,0,0,0,0,7,natural,natural,"",0.741664,244.703436,178.174758,256590149.650567,fused,shoup,-1
m6_g5_p3-3-3-3-4-4_e3-3-3-3-8_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m6-g5","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3+4+4",6,"3+3+3+3+8",5,4,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+3+3+4+4","radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+resident-fused","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.784096,4.541030,4.542533,0.001503,0,0,0,0,0,7,natural,natural,"",0.739968,220.214337,164.877895,230911468.550117,fused,shoup,-1
m6_g6_p3-3-3-3-4-4_e3-3-3-3-4-4_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3+4+4",6,"3+3+3+3+4+4",6,5,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+3+3+4+4","radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.777760,4.247552,4.249136,0.001584,0,0,0,0,0,7,natural,natural,"",0.737728,235.429730,173.519533,246865964.262628,fused,shoup,-1
m6_g2_p3-3-4-3-3-4_e10-10_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m6-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+4+3+3+4",6,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+4+3+3+4","radix4+radix4","resident-fused+resident-fused+full-scratch+resident-fused+resident-fused","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.793856,0.371712,0.373538,0.001826,0,0,0,0,0,7,natural,natural,"",0.754976,2690.254827,520.685806,2820936645.357158,fused,shoup,-1
m6_g6_p3-3-4-3-3-4_e3-3-4-3-3-4_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+4+3+3+4",6,"3+3+4+3+3+4",6,5,"radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+4+3+3+4","radix4+radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.786784,4.218060,4.219800,0.001740,0,0,0,0,0,7,natural,natural,"",0.746336,237.075784,173.877347,248591977.669238,fused,shoup,-1
m5_g2_p3-3-4-5-5_e10-10_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m5-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+4+5+5",5,"10+10",2,1,"radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","3+3+4+5+5","radix4+radix4","resident-fused+resident-fused+full-scratch+resident-fused","1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.784288,0.372941,0.374626,0.001685,0,0,0,0,0,7,natural,natural,"",0.738016,2681.390658,527.636322,2811641890.626338,fused,shoup,-1
m5_g5_p3-3-4-5-5_e3-3-4-5-5_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+4+5+5",5,"3+3+4+5+5",5,4,"radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","3+3+4+5+5","radix4+radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.780800,4.182631,4.184320,0.001689,0,0,0,0,0,7,natural,natural,"",0.737568,239.083990,175.407868,250697734.413241,fused,shoup,-1
m5_g3_p4-4-4-4-4_e4-8-8_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m5-g3","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"4+4+4+4+4",5,"4+8+8",3,2,"radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","4+4+4+4+4","radix4+radix4+radix4","full-scratch+resident-fused+full-scratch+resident-fused","1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.794784,1.002086,1.003974,0.001888,0,0,0,0,0,7,natural,natural,"",0.754816,997.917943,391.897687,1046392805.020158,fused,shoup,-1
