trial,label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct
1,generic776-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,5.649888,3.692011,5.183680,2166.840572,550.752555,2272097019.843572,fused,shoup,natural,-1
1,resident776-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,16.392832,5.995930,11.567776,1334.238454,235.595283,1399050421.620604,fused,shoup,natural,-1
1,barrier-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,12.164576,1.069363,10.326304,14962.176778,679.110140,15688979477.472969,fused,shoup,natural,-1
1,resident1010-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,38.634144,1.020949,14.390496,15671.700915,296.046364,16432969458.736620,fused,shoup,natural,-1
1,generic776-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,33.148064,10.330603,60.392414,1548.796382,154.037100,1624030714.868383,fused,shoup,natural,-1
1,resident776-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,11.982240,13.615412,31.563969,1175.138900,279.908091,1232222447.449757,fused,shoup,natural,-1
1,barrier-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,25.502304,2.925957,64.011070,10936.592844,346.172993,11467848778.089092,fused,shoup,natural,-1
1,resident1010-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,23.683104,2.398044,56.439838,13344.208255,387.780146,13992416515.295990,fused,shoup,natural,-1
1,generic776-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,26.285025,25.474253,64.775139,1256.170313,274.596991,1317190042.593037,fused,shoup,natural,-1
1,resident776-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,24.252096,29.816259,62.095490,1073.239925,275.472975,1125373628.116183,fused,shoup,natural,-1
2,barrier-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,2.221312,0.079811,2.038080,12529.670298,230.457090,13138311562.903334,fused,shoup,natural,-1
2,resident1010-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,1.052736,0.129229,0.800576,7738.213122,504.403234,8114104562.274933,fused,shoup,natural,-1
2,generic776-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,0.984864,0.371343,0.794880,2692.925604,464.881176,2823737157.732190,fused,shoup,natural,-1
2,resident776-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,0.924704,0.428339,0.794816,2334.598465,465.579863,2448003920.273730,fused,shoup,natural,-1
2,barrier-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,3.023392,0.242811,2.727200,16473.726710,667.400488,17273954459.148037,fused,shoup,natural,-1
2,resident1010-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,2.978976,0.310989,2.693088,12862.198975,668.555014,13486993152.342207,fused,shoup,natural,-1
2,generic776-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,3.002688,1.340826,2.903040,2983.236426,551.986538,3128150118.396349,fused,shoup,natural,-1
2,resident776-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,3.106528,2.600243,2.698720,1538.317570,475.879378,1613042883.950806,fused,shoup,natural,-1
2,barrier-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,5.798752,0.493711,5.214592,16203.799977,695.225658,16990915765.051304,fused,shoup,natural,-1
2,resident1010-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,5.864448,0.544522,5.195648,14691.778627,689.380698,15405446466.029751,fused,shoup,natural,-1
2,generic776-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,6.436128,3.706859,5.184288,2158.161194,521.945338,2262996031.812562,fused,shoup,natural,-1
2,resident776-w32-b8,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,8,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,6.920864,5.996687,5.514208,1334.069871,434.033444,1398873648.615911,fused,shoup,natural,-1
2,barrier-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,12.562208,1.058591,10.715776,15114.435397,657.446655,15848634211.107935,fused,shoup,natural,-1
2,resident1010-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,11.992896,1.020969,10.302720,15671.388012,686.206833,16432641356.085838,fused,shoup,natural,-1
2,generic776-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,12.369888,10.324991,10.742272,1549.638121,478.509654,1624913342.050432,fused,shoup,natural,-1
2,resident776-w32-b16,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,12.602528,13.564334,32.305889,1179.564002,273.631731,1236862503.109595,fused,shoup,natural,-1
2,barrier-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,23.430208,2.852577,63.482944,11217.925984,356.483482,11762847956.779079,fused,shoup,natural,-1
2,resident1010-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,23.028481,2.440520,62.063072,13111.960769,365.580285,13748887374.862085,fused,shoup,natural,-1
2,generic776-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,59.419071,25.470772,86.685631,1256.341985,186.506843,1317370053.692895,fused,shoup,natural,-1
2,resident776-w32-b32,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,24.006720,29.840281,61.203072,1072.375977,278.139766,1124467712.797671,fused,shoup,natural,-1
3,barrier-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,0.909952,0.080179,0.792768,12472.063805,560.884212,13077906776.047770,fused,shoup,natural,-1
3,resident1010-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,0.948704,0.129372,0.795360,7729.638002,533.778520,8105112898.009553,fused,shoup,natural,-1
3,generic776-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,0.873792,0.370442,0.828832,2699.476162,482.377262,2830605915.652151,fused,shoup,natural,-1
3,resident776-w32-b1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,2.214208,0.428155,1.621760,2335.603546,234.514825,2449057824.260381,fused,shoup,natural,-1
3,barrier-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-barrier-dataflow-radix4","fallback",0.000000,"balanced two-layer split with persistent cooperative CTAs",hierarchical-barrier,10,named-barrier,10,4,0,5,1,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,10,4,256,dataflow-radix4,"","","","","","","",0,0,10,50,3.042304,0.271892,2.647840,14711.698980,670.911690,15426334469.739939,fused,shoup,natural,-1
3,resident1010-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","9+11","full-scratch","1",8,0,10,50,3.179168,0.347505,2.679392,11510.637486,644.530822,12069778212.394667,fused,shoup,natural,-1
3,generic776-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","radix4+radix4+radix4","256+256+256","32+32+32","7+7+6","full-scratch+full-scratch","1+1",8,0,10,50,2.989376,1.501737,2.682752,2663.582452,557.579504,2792968633.639008,fused,shoup,natural,-1
3,resident776-w32-b4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-7x7x6-resident-radix4","experimental",0.000000,"intra-transform dependency waves with generated resident radix-4 cores",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","dataflow-radix4+dataflow-radix4+dataflow-radix4","256+256+256","32+32+32","6+6+8","full-scratch+full-scratch","1+1",8,0,10,50,8.571840,2.668565,5.983552,1498.933195,232.234674,1571745374.261298,fused,shoup,natural,-1
